PathwayId:START_ID(Pathway),Relation:TYPE,PathwayId:END_ID(Pathway),RelationName
R-HSA-1643685,PathwayToPathway,R-HSA-5260271,Is parent of
R-HSA-1643685,PathwayToPathway,R-HSA-5619115,Is parent of
R-HSA-1643685,PathwayToPathway,R-HSA-5663202,Is parent of
R-HSA-1643685,PathwayToPathway,R-HSA-5663205,Is parent of
R-HSA-1643685,PathwayToPathway,R-HSA-5668914,Is parent of
R-HSA-1643685,PathwayToPathway,R-HSA-9645723,Is parent of
R-HSA-1643685,PathwayToPathway,R-HSA-9671793,Is parent of
R-HSA-1643685,PathwayToPathway,R-HSA-9675126,Is parent of
R-HSA-1643685,PathwayToPathway,R-HSA-9675132,Is parent of
R-HSA-1643685,PathwayToPathway,R-HSA-9675135,Is parent of
R-HSA-1643685,PathwayToPathway,R-HSA-9675143,Is parent of
R-HSA-1643685,PathwayToPathway,R-HSA-9675151,Is parent of
R-HSA-1643713,PathwayToPathway,R-HSA-5637812,Is parent of
R-HSA-1643713,PathwayToPathway,R-HSA-5637815,Is parent of
R-HSA-1643713,PathwayToPathway,R-HSA-5638302,Is parent of
R-HSA-164938,PathwayToPathway,R-HSA-164939,Is parent of
R-HSA-164938,PathwayToPathway,R-HSA-164940,Is parent of
R-HSA-164938,PathwayToPathway,R-HSA-167590,Is parent of
R-HSA-164938,PathwayToPathway,R-HSA-182218,Is parent of
R-HSA-164952,PathwayToPathway,R-HSA-164938,Is parent of
R-HSA-164952,PathwayToPathway,R-HSA-164944,Is parent of
R-HSA-1650814,PathwayToPathway,R-HSA-8948216,Is parent of
R-HSA-165159,PathwayToPathway,R-HSA-165181,Is parent of
R-HSA-165159,PathwayToPathway,R-HSA-166208,Is parent of
R-HSA-165159,PathwayToPathway,R-HSA-380972,Is parent of
R-HSA-1655829,PathwayToPathway,R-HSA-2426168,Is parent of
R-HSA-166016,PathwayToPathway,R-HSA-166020,Is parent of
R-HSA-166016,PathwayToPathway,R-HSA-166058,Is parent of
R-HSA-166016,PathwayToPathway,R-HSA-166166,Is parent of
R-HSA-166058,PathwayToPathway,R-HSA-445989,Is parent of
R-HSA-166058,PathwayToPathway,R-HSA-450294,Is parent of
R-HSA-166058,PathwayToPathway,R-HSA-937039,Is parent of
R-HSA-166058,PathwayToPathway,R-HSA-937042,Is parent of
R-HSA-1660662,PathwayToPathway,R-HSA-9840309,Is parent of
R-HSA-1660662,PathwayToPathway,R-HSA-9840310,Is parent of
R-HSA-166166,PathwayToPathway,R-HSA-937061,Is parent of
R-HSA-166187,PathwayToPathway,R-HSA-167826,Is parent of
R-HSA-166187,PathwayToPathway,R-HSA-9673163,Is parent of
R-HSA-166520,PathwayToPathway,R-HSA-187037,Is parent of
R-HSA-166520,PathwayToPathway,R-HSA-9006115,Is parent of
R-HSA-166520,PathwayToPathway,R-HSA-9034015,Is parent of
R-HSA-166520,PathwayToPathway,R-HSA-9036866,Is parent of
R-HSA-166658,PathwayToPathway,R-HSA-166663,Is parent of
R-HSA-166658,PathwayToPathway,R-HSA-166665,Is parent of
R-HSA-166658,PathwayToPathway,R-HSA-174577,Is parent of
R-HSA-166658,PathwayToPathway,R-HSA-977606,Is parent of
R-HSA-166662,PathwayToPathway,R-HSA-2855086,Is parent of
R-HSA-166663,PathwayToPathway,R-HSA-166786,Is parent of
R-HSA-166663,PathwayToPathway,R-HSA-173736,Is parent of
R-HSA-166786,PathwayToPathway,R-HSA-166662,Is parent of
R-HSA-166786,PathwayToPathway,R-HSA-173623,Is parent of
R-HSA-167044,PathwayToPathway,R-HSA-171007,Is parent of
R-HSA-167169,PathwayToPathway,R-HSA-167158,Is parent of
R-HSA-167169,PathwayToPathway,R-HSA-167242,Is parent of
R-HSA-167169,PathwayToPathway,R-HSA-167246,Is parent of
R-HSA-167172,PathwayToPathway,R-HSA-167152,Is parent of
R-HSA-167172,PathwayToPathway,R-HSA-167160,Is parent of
R-HSA-167172,PathwayToPathway,R-HSA-167161,Is parent of
R-HSA-167172,PathwayToPathway,R-HSA-167162,Is parent of
R-HSA-167172,PathwayToPathway,R-HSA-167169,Is parent of
R-HSA-167172,PathwayToPathway,R-HSA-167238,Is parent of
R-HSA-167172,PathwayToPathway,R-HSA-167243,Is parent of
R-HSA-167172,PathwayToPathway,R-HSA-167287,Is parent of
R-HSA-167172,PathwayToPathway,R-HSA-167290,Is parent of
R-HSA-167246,PathwayToPathway,R-HSA-167200,Is parent of
R-HSA-168138,PathwayToPathway,R-HSA-975155,Is parent of
R-HSA-168138,PathwayToPathway,R-HSA-9860276,Is parent of
R-HSA-168142,PathwayToPathway,R-HSA-975871,Is parent of
R-HSA-168164,PathwayToPathway,R-HSA-168927,Is parent of
R-HSA-168164,PathwayToPathway,R-HSA-445989,Is parent of
R-HSA-168164,PathwayToPathway,R-HSA-450294,Is parent of
R-HSA-168164,PathwayToPathway,R-HSA-9013957,Is parent of
R-HSA-168164,PathwayToPathway,R-HSA-9013973,Is parent of
R-HSA-168164,PathwayToPathway,R-HSA-9014325,Is parent of
R-HSA-168176,PathwayToPathway,R-HSA-975871,Is parent of
R-HSA-168179,PathwayToPathway,R-HSA-166058,Is parent of
R-HSA-168181,PathwayToPathway,R-HSA-975155,Is parent of
R-HSA-168181,PathwayToPathway,R-HSA-9860276,Is parent of
R-HSA-168188,PathwayToPathway,R-HSA-166058,Is parent of
R-HSA-168249,PathwayToPathway,R-HSA-1222556,Is parent of
R-HSA-168249,PathwayToPathway,R-HSA-166658,Is parent of
R-HSA-168249,PathwayToPathway,R-HSA-168643,Is parent of
R-HSA-168249,PathwayToPathway,R-HSA-168898,Is parent of
R-HSA-168249,PathwayToPathway,R-HSA-168928,Is parent of
R-HSA-168249,PathwayToPathway,R-HSA-1834949,Is parent of
R-HSA-168249,PathwayToPathway,R-HSA-2029480,Is parent of
R-HSA-168249,PathwayToPathway,R-HSA-2172127,Is parent of
R-HSA-168249,PathwayToPathway,R-HSA-2454202,Is parent of
R-HSA-168249,PathwayToPathway,R-HSA-5621481,Is parent of
R-HSA-168249,PathwayToPathway,R-HSA-6798695,Is parent of
R-HSA-168249,PathwayToPathway,R-HSA-6803157,Is parent of
R-HSA-168249,PathwayToPathway,R-HSA-879415,Is parent of
R-HSA-168249,PathwayToPathway,R-HSA-9645460,Is parent of
R-HSA-168255,PathwayToPathway,R-HSA-168268,Is parent of
R-HSA-168255,PathwayToPathway,R-HSA-168270,Is parent of
R-HSA-168255,PathwayToPathway,R-HSA-168271,Is parent of
R-HSA-168255,PathwayToPathway,R-HSA-168273,Is parent of
R-HSA-168255,PathwayToPathway,R-HSA-168274,Is parent of
R-HSA-168255,PathwayToPathway,R-HSA-168275,Is parent of
R-HSA-168255,PathwayToPathway,R-HSA-168276,Is parent of
R-HSA-168255,PathwayToPathway,R-HSA-168277,Is parent of
R-HSA-168256,PathwayToPathway,R-HSA-1280215,Is parent of
R-HSA-168256,PathwayToPathway,R-HSA-1280218,Is parent of
R-HSA-168256,PathwayToPathway,R-HSA-168249,Is parent of
R-HSA-168268,PathwayToPathway,R-HSA-168298,Is parent of
R-HSA-168268,PathwayToPathway,R-HSA-168302,Is parent of
R-HSA-168268,PathwayToPathway,R-HSA-168303,Is parent of
R-HSA-168268,PathwayToPathway,R-HSA-168316,Is parent of
R-HSA-168270,PathwayToPathway,R-HSA-168288,Is parent of
R-HSA-168270,PathwayToPathway,R-HSA-168336,Is parent of
R-HSA-168273,PathwayToPathway,R-HSA-168325,Is parent of
R-HSA-168273,PathwayToPathway,R-HSA-192814,Is parent of
R-HSA-168273,PathwayToPathway,R-HSA-192823,Is parent of
R-HSA-168273,PathwayToPathway,R-HSA-192869,Is parent of
R-HSA-168273,PathwayToPathway,R-HSA-192905,Is parent of
R-HSA-168274,PathwayToPathway,R-HSA-168330,Is parent of
R-HSA-168274,PathwayToPathway,R-HSA-168333,Is parent of
R-HSA-168276,PathwayToPathway,R-HSA-168305,Is parent of
R-HSA-168276,PathwayToPathway,R-HSA-168315,Is parent of
R-HSA-168276,PathwayToPathway,R-HSA-169131,Is parent of
R-HSA-168305,PathwayToPathway,R-HSA-168888,Is parent of
R-HSA-168316,PathwayToPathway,R-HSA-168874,Is parent of
R-HSA-168643,PathwayToPathway,R-HSA-168638,Is parent of
R-HSA-168643,PathwayToPathway,R-HSA-622312,Is parent of
R-HSA-168799,PathwayToPathway,R-HSA-5250955,Is parent of
R-HSA-168799,PathwayToPathway,R-HSA-5250958,Is parent of
R-HSA-168799,PathwayToPathway,R-HSA-5250968,Is parent of
R-HSA-168799,PathwayToPathway,R-HSA-5250971,Is parent of
R-HSA-168799,PathwayToPathway,R-HSA-5250981,Is parent of
R-HSA-168799,PathwayToPathway,R-HSA-5250982,Is parent of
R-HSA-168799,PathwayToPathway,R-HSA-5250989,Is parent of
R-HSA-168799,PathwayToPathway,R-HSA-5250992,Is parent of
R-HSA-168898,PathwayToPathway,R-HSA-166016,Is parent of
R-HSA-168898,PathwayToPathway,R-HSA-1679131,Is parent of
R-HSA-168898,PathwayToPathway,R-HSA-168138,Is parent of
R-HSA-168898,PathwayToPathway,R-HSA-168142,Is parent of
R-HSA-168898,PathwayToPathway,R-HSA-168164,Is parent of
R-HSA-168898,PathwayToPathway,R-HSA-168176,Is parent of
R-HSA-168898,PathwayToPathway,R-HSA-168181,Is parent of
R-HSA-168898,PathwayToPathway,R-HSA-181438,Is parent of
R-HSA-168898,PathwayToPathway,R-HSA-5686938,Is parent of
R-HSA-168928,PathwayToPathway,R-HSA-918233,Is parent of
R-HSA-168928,PathwayToPathway,R-HSA-933541,Is parent of
R-HSA-168928,PathwayToPathway,R-HSA-933542,Is parent of
R-HSA-168928,PathwayToPathway,R-HSA-933543,Is parent of
R-HSA-168928,PathwayToPathway,R-HSA-936440,Is parent of
R-HSA-169893,PathwayToPathway,R-HSA-170968,Is parent of
R-HSA-169893,PathwayToPathway,R-HSA-170984,Is parent of
R-HSA-169911,PathwayToPathway,R-HSA-211728,Is parent of
R-HSA-169911,PathwayToPathway,R-HSA-211733,Is parent of
R-HSA-170834,PathwayToPathway,R-HSA-2173789,Is parent of
R-HSA-170834,PathwayToPathway,R-HSA-2173791,Is parent of
R-HSA-170834,PathwayToPathway,R-HSA-2173793,Is parent of
R-HSA-174143,PathwayToPathway,R-HSA-174084,Is parent of
R-HSA-174143,PathwayToPathway,R-HSA-174178,Is parent of
R-HSA-174143,PathwayToPathway,R-HSA-176407,Is parent of
R-HSA-174143,PathwayToPathway,R-HSA-176408,Is parent of
R-HSA-174143,PathwayToPathway,R-HSA-176814,Is parent of
R-HSA-174414,PathwayToPathway,R-HSA-174437,Is parent of
R-HSA-174417,PathwayToPathway,R-HSA-174411,Is parent of
R-HSA-174417,PathwayToPathway,R-HSA-174414,Is parent of
R-HSA-174417,PathwayToPathway,R-HSA-174430,Is parent of
R-HSA-174495,PathwayToPathway,R-HSA-174490,Is parent of
R-HSA-174824,PathwayToPathway,R-HSA-8963898,Is parent of
R-HSA-174824,PathwayToPathway,R-HSA-8963899,Is parent of
R-HSA-174824,PathwayToPathway,R-HSA-8964043,Is parent of
R-HSA-175474,PathwayToPathway,R-HSA-171286,Is parent of
R-HSA-175474,PathwayToPathway,R-HSA-174495,Is parent of
R-HSA-176033,PathwayToPathway,R-HSA-180897,Is parent of
R-HSA-176033,PathwayToPathway,R-HSA-180910,Is parent of
R-HSA-176408,PathwayToPathway,R-HSA-141405,Is parent of
R-HSA-176408,PathwayToPathway,R-HSA-174113,Is parent of
R-HSA-176408,PathwayToPathway,R-HSA-176417,Is parent of
R-HSA-176409,PathwayToPathway,R-HSA-174048,Is parent of
R-HSA-176409,PathwayToPathway,R-HSA-174154,Is parent of
R-HSA-176409,PathwayToPathway,R-HSA-179419,Is parent of
R-HSA-176814,PathwayToPathway,R-HSA-176409,Is parent of
R-HSA-176814,PathwayToPathway,R-HSA-176412,Is parent of
R-HSA-177243,PathwayToPathway,R-HSA-165054,Is parent of
R-HSA-177243,PathwayToPathway,R-HSA-180746,Is parent of
R-HSA-177929,PathwayToPathway,R-HSA-179812,Is parent of
R-HSA-177929,PathwayToPathway,R-HSA-180292,Is parent of
R-HSA-177929,PathwayToPathway,R-HSA-180336,Is parent of
R-HSA-177929,PathwayToPathway,R-HSA-182971,Is parent of
R-HSA-177929,PathwayToPathway,R-HSA-212718,Is parent of
R-HSA-1793185,PathwayToPathway,R-HSA-1971475,Is parent of
R-HSA-1793185,PathwayToPathway,R-HSA-2022870,Is parent of
R-HSA-1793185,PathwayToPathway,R-HSA-2022923,Is parent of
R-HSA-1793185,PathwayToPathway,R-HSA-2024101,Is parent of
R-HSA-179419,PathwayToPathway,R-HSA-174184,Is parent of
R-HSA-179419,PathwayToPathway,R-HSA-179409,Is parent of
R-HSA-180786,PathwayToPathway,R-HSA-171319,Is parent of
R-HSA-180786,PathwayToPathway,R-HSA-174417,Is parent of
R-HSA-181431,PathwayToPathway,R-HSA-622323,Is parent of
R-HSA-181431,PathwayToPathway,R-HSA-622327,Is parent of
R-HSA-181438,PathwayToPathway,R-HSA-168179,Is parent of
R-HSA-181438,PathwayToPathway,R-HSA-168188,Is parent of
R-HSA-1834941,PathwayToPathway,R-HSA-3249367,Is parent of
R-HSA-1834941,PathwayToPathway,R-HSA-3270619,Is parent of
R-HSA-1834949,PathwayToPathway,R-HSA-1606322,Is parent of
R-HSA-1834949,PathwayToPathway,R-HSA-1834941,Is parent of
R-HSA-1834949,PathwayToPathway,R-HSA-3134963,Is parent of
R-HSA-1834949,PathwayToPathway,R-HSA-3134973,Is parent of
R-HSA-1834949,PathwayToPathway,R-HSA-3134975,Is parent of
R-HSA-1839124,PathwayToPathway,R-HSA-1839117,Is parent of
R-HSA-1839124,PathwayToPathway,R-HSA-1839120,Is parent of
R-HSA-1839124,PathwayToPathway,R-HSA-1839122,Is parent of
R-HSA-1839124,PathwayToPathway,R-HSA-8853336,Is parent of
R-HSA-1839126,PathwayToPathway,R-HSA-2023837,Is parent of
R-HSA-1839126,PathwayToPathway,R-HSA-2033519,Is parent of
R-HSA-1839126,PathwayToPathway,R-HSA-8851708,Is parent of
R-HSA-1839126,PathwayToPathway,R-HSA-8853333,Is parent of
R-HSA-1852241,PathwayToPathway,R-HSA-1592230,Is parent of
R-HSA-1852241,PathwayToPathway,R-HSA-5617833,Is parent of
R-HSA-186712,PathwayToPathway,R-HSA-210744,Is parent of
R-HSA-186712,PathwayToPathway,R-HSA-210745,Is parent of
R-HSA-186712,PathwayToPathway,R-HSA-210746,Is parent of
R-HSA-186712,PathwayToPathway,R-HSA-210747,Is parent of
R-HSA-186797,PathwayToPathway,R-HSA-186763,Is parent of
R-HSA-187015,PathwayToPathway,R-HSA-187024,Is parent of
R-HSA-187015,PathwayToPathway,R-HSA-187042,Is parent of
R-HSA-187037,PathwayToPathway,R-HSA-167021,Is parent of
R-HSA-187037,PathwayToPathway,R-HSA-177504,Is parent of
R-HSA-187037,PathwayToPathway,R-HSA-187015,Is parent of
R-HSA-187037,PathwayToPathway,R-HSA-187687,Is parent of
R-HSA-187037,PathwayToPathway,R-HSA-198203,Is parent of
R-HSA-187037,PathwayToPathway,R-HSA-198725,Is parent of
R-HSA-187037,PathwayToPathway,R-HSA-198745,Is parent of
R-HSA-187037,PathwayToPathway,R-HSA-198765,Is parent of
R-HSA-187687,PathwayToPathway,R-HSA-167044,Is parent of
R-HSA-187687,PathwayToPathway,R-HSA-169893,Is parent of
R-HSA-187687,PathwayToPathway,R-HSA-187706,Is parent of
R-HSA-189445,PathwayToPathway,R-HSA-189451,Is parent of
R-HSA-189445,PathwayToPathway,R-HSA-189483,Is parent of
R-HSA-190236,PathwayToPathway,R-HSA-5654736,Is parent of
R-HSA-190236,PathwayToPathway,R-HSA-5654738,Is parent of
R-HSA-190236,PathwayToPathway,R-HSA-5654741,Is parent of
R-HSA-190236,PathwayToPathway,R-HSA-5654743,Is parent of
R-HSA-190239,PathwayToPathway,R-HSA-190371,Is parent of
R-HSA-190239,PathwayToPathway,R-HSA-190372,Is parent of
R-HSA-190241,PathwayToPathway,R-HSA-190375,Is parent of
R-HSA-190241,PathwayToPathway,R-HSA-190377,Is parent of
R-HSA-190242,PathwayToPathway,R-HSA-190370,Is parent of
R-HSA-190242,PathwayToPathway,R-HSA-190373,Is parent of
R-HSA-190242,PathwayToPathway,R-HSA-190374,Is parent of
R-HSA-190322,PathwayToPathway,R-HSA-1307965,Is parent of
R-HSA-190828,PathwayToPathway,R-HSA-190861,Is parent of
R-HSA-190828,PathwayToPathway,R-HSA-190873,Is parent of
R-HSA-190861,PathwayToPathway,R-HSA-190704,Is parent of
R-HSA-190861,PathwayToPathway,R-HSA-190827,Is parent of
R-HSA-190861,PathwayToPathway,R-HSA-190872,Is parent of
R-HSA-190872,PathwayToPathway,R-HSA-190840,Is parent of
R-HSA-190873,PathwayToPathway,R-HSA-196025,Is parent of
R-HSA-1912422,PathwayToPathway,R-HSA-1912399,Is parent of
R-HSA-1912422,PathwayToPathway,R-HSA-1912408,Is parent of
R-HSA-1912422,PathwayToPathway,R-HSA-1912420,Is parent of
R-HSA-191273,PathwayToPathway,R-HSA-6807047,Is parent of
R-HSA-191273,PathwayToPathway,R-HSA-6807062,Is parent of
R-HSA-192105,PathwayToPathway,R-HSA-193368,Is parent of
R-HSA-192105,PathwayToPathway,R-HSA-193775,Is parent of
R-HSA-192105,PathwayToPathway,R-HSA-193807,Is parent of
R-HSA-193639,PathwayToPathway,R-HSA-209543,Is parent of
R-HSA-193639,PathwayToPathway,R-HSA-209560,Is parent of
R-HSA-193697,PathwayToPathway,R-HSA-193634,Is parent of
R-HSA-193697,PathwayToPathway,R-HSA-209563,Is parent of
R-HSA-193704,PathwayToPathway,R-HSA-193639,Is parent of
R-HSA-193704,PathwayToPathway,R-HSA-193670,Is parent of
R-HSA-193704,PathwayToPathway,R-HSA-193681,Is parent of
R-HSA-193704,PathwayToPathway,R-HSA-193692,Is parent of
R-HSA-193704,PathwayToPathway,R-HSA-193697,Is parent of
R-HSA-193704,PathwayToPathway,R-HSA-204998,Is parent of
R-HSA-193704,PathwayToPathway,R-HSA-205017,Is parent of
R-HSA-194068,PathwayToPathway,R-HSA-159418,Is parent of
R-HSA-194068,PathwayToPathway,R-HSA-192105,Is parent of
R-HSA-194138,PathwayToPathway,R-HSA-194306,Is parent of
R-HSA-194138,PathwayToPathway,R-HSA-194313,Is parent of
R-HSA-194138,PathwayToPathway,R-HSA-4420097,Is parent of
R-HSA-194313,PathwayToPathway,R-HSA-195399,Is parent of
R-HSA-194315,PathwayToPathway,R-HSA-195258,Is parent of
R-HSA-194315,PathwayToPathway,R-HSA-9012999,Is parent of
R-HSA-194441,PathwayToPathway,R-HSA-191859,Is parent of
R-HSA-195253,PathwayToPathway,R-HSA-196299,Is parent of
R-HSA-195253,PathwayToPathway,R-HSA-4641265,Is parent of
R-HSA-195258,PathwayToPathway,R-HSA-5625740,Is parent of
R-HSA-195258,PathwayToPathway,R-HSA-5625900,Is parent of
R-HSA-195258,PathwayToPathway,R-HSA-5625970,Is parent of
R-HSA-195258,PathwayToPathway,R-HSA-5626467,Is parent of
R-HSA-195258,PathwayToPathway,R-HSA-5627083,Is parent of
R-HSA-195258,PathwayToPathway,R-HSA-5627117,Is parent of
R-HSA-195258,PathwayToPathway,R-HSA-5627123,Is parent of
R-HSA-195258,PathwayToPathway,R-HSA-5663213,Is parent of
R-HSA-195258,PathwayToPathway,R-HSA-5663220,Is parent of
R-HSA-195258,PathwayToPathway,R-HSA-5666185,Is parent of
R-HSA-195258,PathwayToPathway,R-HSA-5668599,Is parent of
R-HSA-195721,PathwayToPathway,R-HSA-195253,Is parent of
R-HSA-195721,PathwayToPathway,R-HSA-201681,Is parent of
R-HSA-195721,PathwayToPathway,R-HSA-3238698,Is parent of
R-HSA-195721,PathwayToPathway,R-HSA-3858494,Is parent of
R-HSA-196071,PathwayToPathway,R-HSA-193048,Is parent of
R-HSA-196071,PathwayToPathway,R-HSA-193144,Is parent of
R-HSA-196071,PathwayToPathway,R-HSA-193993,Is parent of
R-HSA-196071,PathwayToPathway,R-HSA-194002,Is parent of
R-HSA-196071,PathwayToPathway,R-HSA-196108,Is parent of
R-HSA-196741,PathwayToPathway,R-HSA-9758881,Is parent of
R-HSA-196741,PathwayToPathway,R-HSA-9758890,Is parent of
R-HSA-196741,PathwayToPathway,R-HSA-9759218,Is parent of
R-HSA-196807,PathwayToPathway,R-HSA-197264,Is parent of
R-HSA-196849,PathwayToPathway,R-HSA-196741,Is parent of
R-HSA-196849,PathwayToPathway,R-HSA-196757,Is parent of
R-HSA-196849,PathwayToPathway,R-HSA-196780,Is parent of
R-HSA-196849,PathwayToPathway,R-HSA-196807,Is parent of
R-HSA-196849,PathwayToPathway,R-HSA-196819,Is parent of
R-HSA-196849,PathwayToPathway,R-HSA-196836,Is parent of
R-HSA-196849,PathwayToPathway,R-HSA-196843,Is parent of
R-HSA-196849,PathwayToPathway,R-HSA-199220,Is parent of
R-HSA-196849,PathwayToPathway,R-HSA-947581,Is parent of
R-HSA-196849,PathwayToPathway,R-HSA-964975,Is parent of
R-HSA-196854,PathwayToPathway,R-HSA-196849,Is parent of
R-HSA-196854,PathwayToPathway,R-HSA-6806667,Is parent of
R-HSA-196854,PathwayToPathway,R-HSA-8978934,Is parent of
R-HSA-1980143,PathwayToPathway,R-HSA-2122947,Is parent of
R-HSA-1980143,PathwayToPathway,R-HSA-2122948,Is parent of
R-HSA-1980145,PathwayToPathway,R-HSA-2197563,Is parent of
R-HSA-1980145,PathwayToPathway,R-HSA-2979096,Is parent of
R-HSA-198725,PathwayToPathway,R-HSA-198753,Is parent of
R-HSA-198725,PathwayToPathway,R-HSA-199920,Is parent of
R-HSA-198725,PathwayToPathway,R-HSA-9031628,Is parent of
R-HSA-198753,PathwayToPathway,R-HSA-202670,Is parent of
R-HSA-199220,PathwayToPathway,R-HSA-196783,Is parent of
R-HSA-199418,PathwayToPathway,R-HSA-6811558,Is parent of
R-HSA-199977,PathwayToPathway,R-HSA-204005,Is parent of
R-HSA-199977,PathwayToPathway,R-HSA-5694530,Is parent of
R-HSA-199977,PathwayToPathway,R-HSA-6807878,Is parent of
R-HSA-199991,PathwayToPathway,R-HSA-1445148,Is parent of
R-HSA-199991,PathwayToPathway,R-HSA-157858,Is parent of
R-HSA-199991,PathwayToPathway,R-HSA-199977,Is parent of
R-HSA-199991,PathwayToPathway,R-HSA-199992,Is parent of
R-HSA-199991,PathwayToPathway,R-HSA-6811442,Is parent of
R-HSA-199991,PathwayToPathway,R-HSA-8856828,Is parent of
R-HSA-199991,PathwayToPathway,R-HSA-9007101,Is parent of
R-HSA-199991,PathwayToPathway,R-HSA-917729,Is parent of
R-HSA-199992,PathwayToPathway,R-HSA-432720,Is parent of
R-HSA-199992,PathwayToPathway,R-HSA-432722,Is parent of
R-HSA-201556,PathwayToPathway,R-HSA-9701898,Is parent of
R-HSA-201556,PathwayToPathway,R-HSA-9851151,Is parent of
R-HSA-201681,PathwayToPathway,R-HSA-201688,Is parent of
R-HSA-201681,PathwayToPathway,R-HSA-201722,Is parent of
R-HSA-201681,PathwayToPathway,R-HSA-3769402,Is parent of
R-HSA-201681,PathwayToPathway,R-HSA-3772470,Is parent of
R-HSA-201681,PathwayToPathway,R-HSA-4641257,Is parent of
R-HSA-201681,PathwayToPathway,R-HSA-4641258,Is parent of
R-HSA-201681,PathwayToPathway,R-HSA-4641262,Is parent of
R-HSA-201681,PathwayToPathway,R-HSA-4641263,Is parent of
R-HSA-201681,PathwayToPathway,R-HSA-5368598,Is parent of
R-HSA-201722,PathwayToPathway,R-HSA-4411364,Is parent of
R-HSA-202131,PathwayToPathway,R-HSA-203615,Is parent of
R-HSA-202131,PathwayToPathway,R-HSA-203641,Is parent of
R-HSA-202131,PathwayToPathway,R-HSA-203754,Is parent of
R-HSA-2022090,PathwayToPathway,R-HSA-2214320,Is parent of
R-HSA-2022090,PathwayToPathway,R-HSA-2243919,Is parent of
R-HSA-202403,PathwayToPathway,R-HSA-202424,Is parent of
R-HSA-202403,PathwayToPathway,R-HSA-202427,Is parent of
R-HSA-202403,PathwayToPathway,R-HSA-202430,Is parent of
R-HSA-202403,PathwayToPathway,R-HSA-202433,Is parent of
R-HSA-202733,PathwayToPathway,R-HSA-210990,Is parent of
R-HSA-202733,PathwayToPathway,R-HSA-210991,Is parent of
R-HSA-202733,PathwayToPathway,R-HSA-210993,Is parent of
R-HSA-2029480,PathwayToPathway,R-HSA-2029481,Is parent of
R-HSA-2029480,PathwayToPathway,R-HSA-2029482,Is parent of
R-HSA-2029480,PathwayToPathway,R-HSA-2029485,Is parent of
R-HSA-2033514,PathwayToPathway,R-HSA-1839130,Is parent of
R-HSA-2033514,PathwayToPathway,R-HSA-2033515,Is parent of
R-HSA-2033514,PathwayToPathway,R-HSA-8853334,Is parent of
R-HSA-2046104,PathwayToPathway,R-HSA-2046105,Is parent of
R-HSA-2046104,PathwayToPathway,R-HSA-2046106,Is parent of
R-HSA-204998,PathwayToPathway,R-HSA-193648,Is parent of
R-HSA-204998,PathwayToPathway,R-HSA-205025,Is parent of
R-HSA-204998,PathwayToPathway,R-HSA-205043,Is parent of
R-HSA-209776,PathwayToPathway,R-HSA-209905,Is parent of
R-HSA-209776,PathwayToPathway,R-HSA-209931,Is parent of
R-HSA-209776,PathwayToPathway,R-HSA-209968,Is parent of
R-HSA-209952,PathwayToPathway,R-HSA-209822,Is parent of
R-HSA-209968,PathwayToPathway,R-HSA-350864,Is parent of
R-HSA-210745,PathwayToPathway,R-HSA-211163,Is parent of
R-HSA-211000,PathwayToPathway,R-HSA-203927,Is parent of
R-HSA-211000,PathwayToPathway,R-HSA-426486,Is parent of
R-HSA-211000,PathwayToPathway,R-HSA-426496,Is parent of
R-HSA-211000,PathwayToPathway,R-HSA-5578749,Is parent of
R-HSA-211000,PathwayToPathway,R-HSA-5601884,Is parent of
R-HSA-211000,PathwayToPathway,R-HSA-9708296,Is parent of
R-HSA-211859,PathwayToPathway,R-HSA-156580,Is parent of
R-HSA-211859,PathwayToPathway,R-HSA-211945,Is parent of
R-HSA-211859,PathwayToPathway,R-HSA-5423646,Is parent of
R-HSA-211897,PathwayToPathway,R-HSA-211916,Is parent of
R-HSA-211897,PathwayToPathway,R-HSA-211935,Is parent of
R-HSA-211897,PathwayToPathway,R-HSA-211958,Is parent of
R-HSA-211897,PathwayToPathway,R-HSA-211976,Is parent of
R-HSA-211897,PathwayToPathway,R-HSA-211979,Is parent of
R-HSA-211897,PathwayToPathway,R-HSA-211981,Is parent of
R-HSA-211945,PathwayToPathway,R-HSA-140179,Is parent of
R-HSA-211945,PathwayToPathway,R-HSA-140180,Is parent of
R-HSA-211945,PathwayToPathway,R-HSA-211897,Is parent of
R-HSA-211945,PathwayToPathway,R-HSA-217271,Is parent of
R-HSA-211945,PathwayToPathway,R-HSA-71384,Is parent of
R-HSA-211945,PathwayToPathway,R-HSA-8937144,Is parent of
R-HSA-211976,PathwayToPathway,R-HSA-211994,Is parent of
R-HSA-211981,PathwayToPathway,R-HSA-211957,Is parent of
R-HSA-211981,PathwayToPathway,R-HSA-211999,Is parent of
R-HSA-212165,PathwayToPathway,R-HSA-212300,Is parent of
R-HSA-212165,PathwayToPathway,R-HSA-5221030,Is parent of
R-HSA-212165,PathwayToPathway,R-HSA-5250913,Is parent of
R-HSA-212165,PathwayToPathway,R-HSA-5250941,Is parent of
R-HSA-212165,PathwayToPathway,R-HSA-5334118,Is parent of
R-HSA-212165,PathwayToPathway,R-HSA-9772755,Is parent of
R-HSA-212165,PathwayToPathway,R-HSA-9842860,Is parent of
R-HSA-212436,PathwayToPathway,R-HSA-2032785,Is parent of
